ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Restaurant_name_length
295283,Central Markt Punjabi Bagh,Delhi,Mirza,250.0,4.0,500,"North Indian,Chinese,Biryani,Snacks,Chaat,Beverages",Punjabi Bagh,5
295326,Nungambakkam,Chennai,Vel Chettinadu Hotel,200.0,4.2,100,Indian,Nungambakkam,20
295399,Teynampet,Chennai,Welcomhotel Chennai - Flavours,1000.0,2.9,80,"Indian,Continental",Catherdal Road,30
295537,Jayanagar,Bangalore,4Th Tea Block,100.0,4.6,50,"Beverages,Snacks",Jayanagar,13
295595,Jodhpur Park,Kolkata,Hondo'S,450.0,4.3,100,American  Chinese  Continental  Desserts,South Kolkata,7
296011,Burrabazar,Kolkata,Calcutta Cravings,300.0,4.3,50,Bengali  Italian  Chinese  Combo  Snacks  Kebabs  Indian,Burrabazar,17
296022,Chembur,Mumbai,One By Two,100.0,4.2,100,Chinese,Chembur,10
296084,Himayatnagar,Hyderabad,Haiking Chinese Restaurant,1000.0,4.3,500,Chinese,Himayath Nagar,26
296177,Sangamvadi,Pune,Kapila Kathi Kebab,250.0,4.4,100,Fast Food,Koregaon Park,18
296289,Shivajinagar,Pune,Spice Kitchen  Jw Marriott Pune,1000.0,4.3,20,"Indian,Continental",Senapati Bapat Road,31
296304,Kodihalli,Bangalore,Bengali Khabar,250.0,3.7,100,Bengali,Indiranagar,14
296634,Paikpara,Kolkata,Deli Bread,250.0,4.3,100,"Chinese,Biryani,North Indian",Dumdum,10
296658,Santacruz East,Mumbai,Big Bowl Company,300.0,4.1,100,"North Indian,Chinese,Biryani,Fast Food",Kurla,16
296737,Indiranagar,Bangalore,Bohemians,1200.0,2.9,80,"Indian,Italian,Chinese,American",Indiranagar,9
296855,Central Bangalore,Bangalore,Thalaivars Biryani,200.0,4.3,100,"Biryani,Indian",Central Bangalore,18
296877,Taltala,Kolkata,Jackie'S Kitchen,350.0,2.9,80,"Chinese,Tibetan",Esplanade,16
297287,Aundh,Pune,Sagar  Ratan,300.0,2.9,80,Indian,Aundh,12
297288,Aundh,Pune,Saffroni,300.0,2.9,80,North Indian,Aundh,8
297332,Sherkotda,Ahmedabad,K3 Food Corner,200.0,2.9,80,"Indian,Chinese",Sherkotda Road,14
297373,Seshadripuram,Bangalore,Mantap Ice Cream,200.0,4.7,20,Ice Cream,Sheshadripuram,16
297374,Srirampura,Bangalore,Annapurna,150.0,2.9,80,"North Indian,Tandoor,Chinese",1St Stage Okalipuram,9
297562,Purasaiwakkam,Chennai,Slay Coffee,200.0,3.8,20,"Beverages,Desserts",Purasaiwakkam,11
297563,Abids,Hyderabad,Slay Coffee,200.0,4.1,100,Beverages  Desserts,Abids,11
297567,Andheri East,Mumbai,Cafe Marol,200.0,3.8,1000,Indian  Chinese  Tandoor,Marol Sakinaka,10
297636,Shahpur,Ahmedabad,Marvel Kitchen,200.0,2.9,80,Indian,Laldarwaja,14
297644,University Area,Ahmedabad,Noodle Co.(Navrangpura),200.0,2.9,80,Indian,Navrangpura,23
297648,Indiranagar,Bangalore,Isareli Falafel Kitchen,400.0,2.9,80,"Mediterranean,Lebanese,Arabian",Indiranagar,23
297652,Indiranagar,Bangalore,Aalis Rolls N Kebabs,400.0,2.9,80,"Turkish,Arabian",Indiranagar,20
297655,Indiranagar,Bangalore,Pizza Factory,400.0,2.9,80,Pizzas,Indiranagar,13
297861,Nacharam,Hyderabad,Tasty Dragon - Chinese Kitchen,200.0,4.2,100,Chinese,Uppal,30
297960,Mohammed Wadi,Pune,Circle Of Crust,200.0,4.2,500,"Pizzas,Beverages,Combo,Snacks",Wanowrie,15
297997,Sheshadripuram,Bangalore,La-Casa,150.0,2.9,80,"Desserts,Ice Cream,Beverages",Nehru Nagarsheshadripuram,7
298317,Gopalapuram,Chennai,Schezwan Wok,300.0,4.0,500,"Chinese,Beverages",Royapettah,12
298322,Kothrud,Pune,The Bombay Paratha Company,200.0,4.1,50,"North Indian,Indian,Punjabi,Desserts,Beverages,Combo",Kothrud The Bombay Paratha Company,26
298342,Entally,Kolkata,H R Restaurant,300.0,3.8,20,"Biryani,Chinese,Indian",Entally,14
298393,Raja Bazar,Kolkata,Delisha Biryani House,200.0,3.5,20,Biryani,Opposite Hind Mahal,21
298400,Raja Bazar,Kolkata,Lazeez  Fast  Food  Centre,200.0,2.9,80,"Fast Food,Chinese",Opposite Hind Mahal,26
298553,Shankarapura,Bangalore,Uttara Karnataka Jolad Rotti & Chapathi Store,200.0,4.0,100,South Indian,Basavanagudi,45
298606,Koramangala,Bangalore,Drunken Monkey,300.0,2.9,80,"Healthy Food,Beverages,Juices",Koramangala,14
298633,Santacruz East,Mumbai,Hare Krishna,250.0,4.4,100,Indian,Kalina Santacruz (E),12
298655,Shivajinagar,Pune,Haka,500.0,4.5,100,"Chinese,Asian,Seafood",Pyramid Mall,4
298694,Camp,Pune,Ibaco,800.0,2.9,80,"Ice Cream,Desserts",Camp,5
299150,26,Chennai,Malabar Point,450.0,4.2,100,"Biryani,Kerala,South Indian,Thalis",Alwarpet (Malabar Point),13
299226,Powai,Mumbai,Pratik Restaurant,250.0,4.5,20,Indian  Chinese  Tandoor  Punjabi,Powai,17
299311,Jamalia,Chennai,Waffle Dreams,200.0,2.9,80,"Beverages,Desserts,Snacks",Perambur,13
299312,Rohini,Delhi,Meals And Bowls,300.0,4.0,20,"North Indian,Punjabi,Mughlai,Home Food",Rohini,15
299369,Sec-9 Rohini,Delhi,Home Factory,200.0,2.9,80,"North Indian,Continental,Chinese",Rohini,12
299435,Perambur,Chennai,Arabian Express,300.0,4.4,20,"Indian,Arabian",Perambur,15
299501,Machuabazar,Kolkata,Vanakkam,300.0,4.4,50,"South Indian,Ice Cream",Maniktala,8
299656,Bidhannagar,Kolkata,Hatari,500.0,4.5,500,"Chinese,Indian",Salt Lake,6
299680,Kothrud,Pune,Box.72,200.0,2.9,80,"Fast Food,Chinese,Indian",Kothrud,6
299750,Alwarpet,Chennai,Dakshin At Crowne Plaza Chennai,300.0,4.5,20,"North Indian,Indian,Salads,Biryani,Chinese,Juices,Desserts",Austin Nagar,31
299751,Alwarpet,Chennai,Cappuccino At Crowne Plaza Chennai,300.0,4.5,20,"North Indian,Indian,Salads,Biryani,Chinese,Juices,Desserts",Austin Nagar,34
299869,Koregaon Park,Pune,Foodiedoo,500.0,2.9,80,Punjabi,Kalyani Nagar,9
299951,Taltala,Kolkata,New Noodle King,300.0,4.0,100,"Chinese,Seafood",Esplanade,15
300026,Koti,Hyderabad,Kolhapuri Thaska,100.0,3.9,20,"Indian,Fast Food",Jambagh,16
300360,Kiran Nagar,Hyderabad,Barbeque Nation,600.0,3.4,100,"North Indian,Chinese,Biryani",Kothapet,15
300371,Memnagar,Ahmedabad,Barbeque Nation,600.0,3.9,100,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Satya One,15
